Crop,Family,Temp - C,PH val,Zone,Season,Predicted_category
BigOnion,Amaryllidaceae,10.0-25.0,6.0-8.0,dry,yala,2
Chili,Solanaceae,20.0-30.0,6.0-7.0,"dry,wet,intermediate","yala,maha",4
RedOnion,Amaryllidaceae,15.0-20.0,6.0-7.0,"dry, intermediate",yala,2
Corn,Poaceae,25.0-30.0,6.0-7.0,"dry,intermediate",yala,2
FingerMillet,Poaceae,15.0-30.0,5.0-8.0,"dry,intermediate","yala,maha",1
SoyBean,Fabaceae,25.0-30.0,6.0-6.5,"dry,intermediate","yala,maha",0
BlackGram,Fabaceae,20.0-35.0,6.0-7.0,"dry, intermediate","yala,maha",0
Kaupi,Fabaceae,20.0-35.0,6.0-7.0,"dry,intermediate",yala,2
Pigeon Pea,Fabaceae,15.0-20.0,5.0-8.0,"dry, intermediate",yala,2
Potato,Solanaceae,<24,5.0-7.0,"wet, dry",yala,2
Cassava,Solanaceae,25.0-30.0,5.0-6.0,"dry,wet","yala,maha",1
SweetPotato,Solanaceae,20.0-40.0,5.0-6.0,"dry,wet,intermediate","yala, maha",1
Yams,Solanaceae,25.0-30.0,5.0-6.0,"wet, dry","yala,maha",1
GroundNut,Fabaceae,25.0-30.0,6.0-7.0,"dry,intermediate,wet","yala,maha",0
Sesame,Pedaliaceae,25.0-30.0,5.0-8.0,"dry,intermediate","yala,maha",1
Mustard,Brassicaceae,15.0-30.0,6.0-8.0,"dry,intermediate","yala,maha",5
SunFlower,Asteraceae,>20,6.0-9.0,dry,"yala,maha",3
Cabbage,Brassicaceae,15.0-20.0,6.0-7.0,wet,maha,3
Radish,Brassicaceae,10.0-15.0,6.0-8.0,"dry,wet,intermediate","yala,maha",5
Carrot,Apiaceca,15.0-20.0,6.0-7.0,"dry,wet,intermediate","yala,maha",5
Tomato,Solanaceae,20.0-25.0,5.0-8.0,"dry,wet,intermediate","yala,maha",4
Capsicum,Solanaceae,15.0-20.0,5.0-7.0,"dry,intermediate,wet","yala,maha",1
Brinjal,Solanaceae,20.0-25.0,5.0-6.0,"dry,intermediate","yala,maha",1
Okra,Malvaceca,20.0-30.0,6.0-7.0,"dry,intermediate","yala,maha",0
Beans,Fabaceae,<30,5.0-7.0,"intermediate,wet","yala,maha",0
WingedBean,Fabaceae,15.0-30.0,5.0-8.0,"dry,intermediate,wet","yala,maha",5
GreenYardLongBean,Fabaceae,20.0-25.0,5.0-7.0,"dry,intermediate,wet","yala,maha",0
RedYardLongBean,Fabaceae,20.0-25.0,5.0-7.0,"dry,intermediate,wet","yala,maha",0
Pumpkin,Cucurbitaceae,15.0-30.0,5.0-8.0,"dry,intermediate",yala,2
Cucumber,Cucurbitaceae,20.0-30.0,6.0-7.0,"dry,wet","yala,maha",3
SnakeGourd,Cucurbitaceae,20.0-30.0,5.0-8.0,dry,"yala,maha",3
Luffa,Cucurbitaceae,25.0-30.0,5.0-8.0,"dry,wet,intermediate","yala,maha",0
BitterGourd,Cucurbitaceae,25.0-30.0,5.0-8.0,"dry,intermediate","yala,maha",0
